Name	Version	Enabled	Pinned
analysis-collector	1.47	true	false
analysis-core	1.76	true	false
ant	1.2	true	false
antisamy-markup-formatter	1.3	true	true
async-http-client	1.7.24	true	false
blame-upstream-commiters	1.2	true	false
checkstyle	3.45	true	false
claim	2.8	true	false
cloudbees-folder	5.3	true	false
cobertura	1.9.7	true	false
conditional-buildstep	1.3.3	true	false
credentials	1.25	true	true
cvs	2.12	true	true
dashboard-view	2.9.7	true	false
dependencyanalyzer	0.7	true	false
downstream-ext	1.8	true	false
dropdown-viewstabbar-plugin	1.6	true	false
email-ext	2.41.3	true	false
external-monitor-job	1.4	true	true
favorite	1.16	true	false
findbugs	4.64	true	false
git	2.4.2	true	false
git-client	1.19.6	true	false
github	1.17.1	true	false
github-api	1.72.1	true	false
global-post-script	1.1.0	true	false
gradle	1.24	true	false
greenballs	1.15	true	false
groovy	1.29	true	false
groovy-postbuild	2.3.1	true	false
heavy-job	1.1	true	false
hockeyapp	1.2.1	true	false
hudson-pview-plugin	1.8	true	false
icon-shim	2.0.3	true	false
iphoneview	0.2	true	false
javadoc	1.3	true	true
job-dsl	1.43	true	false
jquery	1.11.2-0	true	false
junit	1.11	true	true
ldap	1.11	true	true
m2release	0.14.0	true	false
mailer	1.16	true	true
mapdb-api	1.0.6.0	true	false
matrix-auth	1.3.2	true	true
matrix-project	1.6	true	true
matrixtieparent	1.2	true	false
maven-deployment-linker	1.5.1	true	false
maven-info	0.2.0	true	false
maven-plugin	2.12.1	true	true
msbuild	1.25	true	false
next-build-number	1.3	true	false
nodelabelparameter	1.7.1	true	false
pam-auth	1.2	true	true
parameterized-trigger	2.30	true	false
performance	1.13	true	false
plain-credentials	1.1	true	false
port-allocator	1.8	true	false
PrioritySorter	3.4	true	false
radiatorviewplugin	1.26	true	false
rebuild	1.25	true	false
repository	1.3	false	false
run-condition	1.0	true	false
scm-api	1.0	true	false
scp	1.8	true	false
script-security	1.17	true	true
sectioned-view	1.20	true	false
sonar	2.3	true	false
ssh-agent	1.10	true	false
ssh-credentials	1.11	true	true
ssh-slaves	1.10	true	true
subversion	2.5.7	true	true
test-stability	1.0	true	false
token-macro	1.12.1	true	false
translation	1.12	true	true
validating-string-parameter	2.3	true	false
view-job-filters	1.27	true	false
vstestrunner	1.0.4	true	false
windows-slaves	1.1	true	true
workflow-step-api	1.14	true	false
xvnc	1.23	true	false
