"shortName","version"
"ace-editor","1.1"
"active-directory","2.19"
"ansicolor","0.7.3"
"ant","1.11"
"antisamy-markup-formatter","2.1"
"apache-httpcomponents-client-4-api","4.5.13-1.0"
"authentication-tokens","1.4"
"aws-credentials","1.32"
"aws-java-sdk-cloudformation","1.12.80"
"aws-java-sdk-codebuild","1.12.80"
"aws-java-sdk-ec2","1.12.80"
"aws-java-sdk-ecr","1.12.80"
"aws-java-sdk-ecs","1.12.80"
"aws-java-sdk-elasticbeanstalk","1.12.80"
"aws-java-sdk-iam","1.12.80"
"aws-java-sdk-logs","1.12.80"
"aws-java-sdk-minimal","1.12.80"
"aws-java-sdk-ssm","1.12.80"
"aws-java-sdk","1.12.80"
"bitbucket","1.1.27"
"blueocean-autofavorite","1.2.4"
"blueocean-bitbucket-pipeline","1.24.1"
"blueocean-commons","1.24.1"
"blueocean-config","1.24.1"
"blueocean-core-js","1.24.1"
"blueocean-dashboard","1.24.1"
"blueocean-display-url","2.4.0"
"blueocean-events","1.24.1"
"blueocean-git-pipeline","1.24.1"
"blueocean-github-pipeline","1.24.1"
"blueocean-i18n","1.24.1"
"blueocean-jira","1.24.1"
"blueocean-jwt","1.24.1"
"blueocean-personalization","1.24.1"
"blueocean-pipeline-api-impl","1.24.1"
"blueocean-pipeline-editor","1.24.1"
"blueocean-pipeline-scm-api","1.24.1"
"blueocean-rest-impl","1.24.1"
"blueocean-rest","1.24.1"
"blueocean-web","1.24.1"
"blueocean","1.24.1"
"bootstrap4-api","4.5.2-1"
"bouncycastle-api","2.25"
"branch-api","2.6.0"
"build-timeout","1.20"
"build-token-root","1.7"
"build-user-vars-plugin","1.6"
"caffeine-api","2.9.2-29.v717aac953ff3"
"chef-identity","2.0.3"
"chef","0.1.7"
"cloudbees-bitbucket-branch-source","2.9.4"
"cloudbees-folder","6.14"
"command-launcher","1.6"
"conditional-buildstep","1.3.6"
"configurationslicing","1.51"
"copyartifact","1.45.2"
"credentials-binding","1.27"
"credentials","2.6.1"
"discard-old-build","1.05"
"display-url-api","2.3.3"
"docker-commons","1.17"
"docker-workflow","1.24"
"durable-task","1.35"
"ec2","1.58"
"echarts-api","4.9.0-1"
"email-ext","2.77"
"envinject-api","1.7"
"envinject","2.3.0"
"extended-choice-parameter","0.82"
"extended-read-permission","3.2"
"external-monitor-job","1.7"
"favorite","2.3.2"
"font-awesome-api","5.14.0-1"
"git-client","3.5.1"
"git-server","1.9"
"git","4.4.4"
"github-api","1.116"
"github-branch-source","2.9.1"
"github-organization-folder","1.6"
"github","1.31.0"
"gradle","1.36"
"handlebars","1.1.1"
"handy-uri-templates-2-api","2.1.8-1.0"
"hipchat","2.2.1"
"htmlpublisher","1.23"
"icon-shim","2.0.3"
"jackson2-api","2.13.0-226.v0c5dd2d2fd2a"
"javadoc","1.6"
"jdk-tool","1.4"
"jenkins-design-language","1.24.1"
"jira","3.1.1"
"job-import-plugin","3.4"
"jobConfigHistory","2.26"
"jquery-detached","1.2.1"
"jquery","1.12.4-1"
"jquery3-api","3.5.1-1"
"jsch","0.1.55.2"
"junit","1.38"
"ldap","1.26"
"lockable-resources","2.10"
"mailer","1.32.1"
"mapdb-api","1.0.9.0"
"matrix-auth","2.6.3"
"matrix-project","1.18"
"maven-plugin","3.8"
"mercurial","2.10"
"momentjs","1.1.1"
"naginator","1.18.1"
"node-iterator-api","1.5.0"
"nodelabelparameter","1.7.2"
"Office-365-Connector","4.13.2"
"okhttp-api","3.14.9"
"pam-auth","1.6"
"parameterized-trigger","2.39"
"pipeline-build-step","2.13"
"pipeline-github-lib","1.0"
"pipeline-graph-analysis","1.10"
"pipeline-input-step","2.12"
"pipeline-milestone-step","1.3.1"
"pipeline-model-api","1.9.2"
"pipeline-model-declarative-agent","1.1.1"
"pipeline-model-definition","1.7.2"
"pipeline-model-extensions","1.9.2"
"pipeline-rest-api","2.17"
"pipeline-stage-step","2.5"
"pipeline-stage-tags-metadata","1.7.2"
"pipeline-stage-view","2.17"
"pipeline-utility-steps","2.10.0"
"plain-credentials","1.7"
"plugin-util-api","1.3.0"
"popper-api","1.16.0-6"
"powershell","1.4"
"pubsub-light","1.13"
"resource-disposer","0.14"
"ruby-runtime","0.13"
"run-condition","1.3"
"s3","0.11.5"
"scm-api","2.6.4"
"scoring-load-balancer","1.0.1"
"script-security","1.78"
"scriptler","3.3"
"simple-theme-plugin","0.6"
"snakeyaml-api","1.29.1"
"sse-gateway","1.23"
"ssh-credentials","1.18.1"
"ssh-slaves","1.31.2"
"structs","1.23"
"subversion","2.13.1"
"terraform","1.0.10"
"timestamper","1.11.5"
"token-macro","2.12"
"trilead-api","1.0.13"
"uno-choice","2.5.6"
"urltrigger","0.47"
"validating-string-parameter","2.5"
"variant","1.4"
"vsphere-cloud","2.24"
"windows-slaves","1.7"
"workflow-aggregator","2.6"
"workflow-api","2.46"
"workflow-basic-steps","2.22"
"workflow-cps-global-lib","2.17"
"workflow-cps","2.94"
"workflow-durable-task-step","2.36"
"workflow-job","2.41"
"workflow-multibranch","2.22"
"workflow-scm-step","2.13"
"workflow-step-api","2.24"
"workflow-support","3.8"
"ws-cleanup","0.38"
